time,open,high,low,close
1702130040000,2358.82,2359.06,2358.35,2358.61
1702130100000,2358.92,2360.71,2358.37,2358.67
1702130160000,2360.77,2361.2,2358.67,2359.7
1702130220000,2359.86,2360.8,2359,2360.3
1702130280000,2359.9,2360.42,2359.12,2360.28
1702130340000,2360.38,2361.5,2359.13,2360.29
1702130400000,2360.29,2363.4,2359.14,2361.82
1702130460000,2361.96,2361.96,2358.47,2358.47
1702130520000,2358.45,2361.64,2358.39,2361.22
1702130580000,2360.95,2362.3,2359.91,2361.22
1702130640000,2361.28,2363.4,2360.26,2362.72
1702130700000,2362.45,2364.3,2360.59,2362.8
1702130760000,2361.8,2366.9,2361.34,2365.47
1702130820000,2365.47,2366.5,2362.87,2362.87
1702130880000,2365,2365.4,2362.93,2365.4
1702130940000,2365.7,2367.5,2364.96,2366.09
1702131000000,2366.07,2367.8,2364.99,2366.71
1702131060000,2366.59,2368.1,2365.48,2366
1702131120000,2366,2370.4,2365.53,2367.74
1702131180000,2367.28,2371.1,2367.28,2368.02
1702131240000,2368.03,2369.2,2365.78,2366.3
1702131300000,2366.3,2367.9,2365.41,2367.81
1702131360000,2367.61,2370.6,2366.59,2368.28
1702131420000,2367.45,2370.4,2367.14,2367.97
1702131480000,2368.15,2369.3,2365.69,2366.79
1702131540000,2366.6,2369.5,2366.45,2368.89
1702131600000,2368.89,2370.2,2367.42,2370.2
1702131660000,2367.11,2367.68,2365.82,2366.49
1702131720000,2366.49,2368,2365.94,2367.51
1702131780000,2367.41,2368.64,2366.24,2366.78
1702131840000,2366.62,2368,2365.33,2367.02
1702131900000,2365.77,2367.02,2365.53,2365.82
1702131960000,2365.74,2368.5,2365.6,2367.02
1702132020000,2367.02,2367.02,2364.69,2364.84
1702132080000,2365.03,2367.02,2364.1,2366.04
1702132140000,2366.03,2367.81,2366.03,2367.61
1702132200000,2367.55,2368.7,2365.86,2368
1702132260000,2365.83,2368,2363.76,2364.27
1702132320000,2364.25,2367.8,2364.22,2365.49
1702132380000,2365.6,2365.6,2364.22,2364.23
1702132440000,2364.24,2365.7,2363.26,2364.02
1702132500000,2364.02,2365.24,2363.43,2364.78
1702132560000,2364.83,2365.2,2362.38,2363.32
1702132620000,2363.14,2364.51,2361.33,2363.46
1702132680000,2361.76,2363.46,2361.41,2362.8
1702132740000,2362.8,2363.6,2360.9,2361.08
1702132800000,2361.08,2362,2358.6,2358.7
1702132860000,2358.54,2360,2355.5,2357.3
1702132920000,2357.1,2357.1,2353.76,2353.97
1702132980000,2354.07,2355.7,2341.8,2345.64
1702133040000,2345.98,2350.6,2344.81,2349.71
1702133100000,2349.31,2351.7,2346.57,2351.3
1702133160000,2351.16,2352.5,2348.37,2352.5
1702133220000,2351.64,2352.6,2350,2350.48
1702133280000,2350.3,2350.55,2338.46,2341.59
1702133340000,2340.95,2345.5,2337.59,2339.15
1702133400000,2339.33,2346.1,2338.93,2343.54
1702133460000,2342.92,2348.2,2342.23,2346.36
1702133520000,2345.65,2345.99,2342.27,2345.47
1702133580000,2345.88,2347.1,2341.05,2341.51
1702133640000,2342.09,2345.9,2340.08,2344.8
1702133700000,2345.3,2347.8,2344.09,2346.85
1702133760000,2345.67,2349.2,2345.17,2348.43
1702133820000,2348.3,2350.87,2346.58,2349.78
1702133880000,2350.08,2352.3,2349.42,2351.04
1702133940000,2352.08,2353.9,2351.33,2352.97
1702134000000,2351.8,2353.51,2351.05,2353.34
1702134060000,2353.4,2353.4,2349.16,2349.83
1702134120000,2349.88,2352.4,2348.31,2351.79
1702134180000,2351.92,2356,2350.33,2355.46
1702134240000,2355.95,2357,2353.39,2354.61
1702134300000,2354.6,2355.46,2351.82,2352.1
1702134360000,2351.98,2354.7,2351.06,2351.47
1702134420000,2351.49,2354.2,2350.51,2350.82
1702134480000,2350.54,2352.3,2348.44,2348.62
1702134540000,2348.63,2351.9,2348.45,2350.05
1702134600000,2350.05,2353.45,2349.34,2353.01
1702134660000,2353.01,2353.46,2351.53,2352.41
1702134720000,2352.4,2352.64,2350.02,2350.24
1702134780000,2350.46,2352.7,2350.25,2350.8
1702134840000,2350.69,2350.94,2348.86,2349.12
