time,open,high,low,close
1702139220000,43990.5,44024,43951.9,43974.76
1702139280000,44000,44011,43955.78,43962.41
1702139340000,43962.41,44051,43956.79,44051
1702139400000,44015.5,44073,43982.1,44022.24
1702139460000,44024.84,44080,44000,44080
1702139520000,44080,44089,44030.4,44089
1702139580000,44089,44124,44063.2,44078.99
1702139640000,44079.62,44112,44063.2,44104
1702139700000,44071.34,44125,44063.2,44081
1702139760000,44092.52,44109,44056.4,44078.2
1702139820000,44103,44111,44057.73,44073.65
1702139880000,44069.47,44081,44055.3,44072.81
1702139940000,44072.82,44100,44055.3,44071.57
1702140000000,44071.56,44084,44052.24,44054.68
1702140060000,44052.27,44090,44039.6,44051.11
1702140120000,44051.89,44075,44033,44052.33
1702140180000,44054.85,44076,44046.6,44058
1702140240000,44063.77,44086,44057.2,44072.08
1702140300000,44063.2,44086,44044.6,44072.53
1702140360000,44074.1,44122,44063.2,44116
1702140420000,44092.54,44116,44063.2,44084.33
1702140480000,44082.79,44112,44063.2,44065.62
1702140540000,44063.3,44099,44053.21,44053.21
1702140600000,44053.21,44094,44032.7,44066.67
1702140660000,44068.4,44091,44024.6,44048.21
1702140720000,44048.21,44074,44024.1,44032.1
1702140780000,44032.09,44066,44001.69,44008
1702140840000,44001.86,44045,43984.9,44003.04
1702140900000,44003.05,44056,44000,44023.26
1702140960000,44023.26,44050,44001.28,44012.99
1702141020000,44012.98,44037,43987.2,44008.74
1702141080000,44008.7,44047,43989.1,44018.27
1702141200000,44027.42,44057,44006.18,44010.55
1702141260000,44010.55,44048,43987.1,44015.28
1702141320000,44019.76,44044,44002.3,44020.67
1702141380000,44020.79,44024.8,43989.1,44006.5
1702141440000,44006.5,44042,44000.99,44029
1702141500000,44011,44033,43962.52,43963.5
1702141560000,43975,44009,43930,43974
1702141620000,43980.3,44003,43929.9,43961.96
1702141680000,43962.56,43989,43944.01,43946.59
1702141740000,43944.1,43980,43914.7,43930.7
1702141800000,43926.64,43972,43905.09,43920.53
1702141860000,43921.15,43973,43899.2,43924
1702141920000,43926.58,43962,43920.07,43927.72
1702141980000,43932.01,43975,43899.9,43941.78
1702142040000,43951.2,43951.3,43892.7,43910.12
1702142100000,43912,43964,43896.3,43937.9
1702142160000,43934.97,43968,43899.9,43940.66
1702142220000,43964,43980,43899.9,43957.51
1702142280000,43900,44000,43900,43963.18
1702142340000,43964.85,44021,43963.15,43979.75
1702142400000,43979.75,44002,43951.4,43968.55
1702142460000,43968.37,43994,43954.45,43978.22
1702142520000,43978.79,44007,43951.7,43963.53
1702142580000,43968.37,43992,43956.2,43985.1
1702142640000,43984.25,43987.08,43966.37,43984.9
1702142700000,43985.48,44003,43955.9,43988.41
1702142760000,43986.47,44005,43944.5,43962.06
1702142820000,43962.05,43987,43962.05,43977.28
1702142880000,43979.4,44003,43970.64,43970.64
1702142940000,43970.65,44017,43957.1,43971.86
1702143000000,43971.67,43994,43940.3,43949.79
1702143060000,43949.04,43989,43946.09,43969.08
1702143120000,43968.85,44000,43966.57,43987.22
1702143180000,44004,44027,43979.3,44007.1
1702143240000,44007.11,44073,43999.9,44050.45
1702143300000,44048.9,44072,44000.9,44038
1702143360000,44039.29,44063,43977.9,43985.08
1702143420000,43986.66,44025,43974.7,43999.57
1702143480000,44001.6,44027,43975,44000
1702143540000,43992.39,44022,43970.29,43974.53
1702143600000,43973.8,44005,43962.01,43970.61
1702143660000,43970.61,44001,43927.4,43953
1702143720000,43952.46,44000,43952.46,43993
1702143780000,43972.11,44011,43969.8,43983.35
1702143840000,43983.34,44008,43951.06,43956.91
1702143900000,43970.1,43982,43927.5,43957.92
1702143960000,43970.2,43980,43939.5,43949.82
1702144020000,43963.1,43970,43930.2,43946.84
1702144080000,43948,43965,43926.91,43926.92
1702144140000,43929.84,43954,43909.8,43950
1702144200000,43949,43951,43908.9,43923.78
1702144260000,43927.58,43954,43907,43932.55
1702144320000,43932.53,43951,43911.1,43933.22
1702144380000,43932.94,43975,43920.1,43952.79
1702144440000,43954.53,43980,43933.1,43950.36
1702144500000,43974,43976,43923.45,43945.92
1702144560000,43945.91,43965,43933.1,43946.96
1702144620000,43950.8,43950.9,43935.61,43941.44
1702144680000,43940.39,43964,43915.32,43926.81
1702144740000,43925.02,43950.1,43905.62,43910.34
1702144800000,43910.11,43950.1,43900.01,43912.41
1702144860000,43916.34,43950,43906.8,43937.5
1702144920000,43924.29,43957,43914.58,43923.11
1702144980000,43923.12,43937.6,43906,43926.24
1702145040000,43928.4,43959,43926.44,43932.69
1702145100000,43934,43964,43906.04,43935.86
1702145160000,43935.85,43969,43933.37,43943.96
1702145220000,43943.96,43971,43925.6,43943.06
1702145280000,43946.31,43974,43927.7,43929.34
1702145340000,43927.7,43962,43924.02,43924.59
1702145400000,43924.6,43948,43894.15,43895.88
1702145460000,43898.04,43933,43891.41,43898.87
1702145520000,43897.66,43933,43897.66,43900.82
1702145580000,43902.49,43933,43895.77,43898.3
1702145640000,43933,43933,43896.35,43899.94
1702145700000,43899.93,43935,43899.93,43922.47
1702145760000,43934,43969,43923.36,43949.53
1702145820000,43948.31,43971,43917.7,43950.81
1702145880000,43950.82,43971,43917.7,43952
1702145940000,43952.93,43968,43915.7,43936.08
1702146000000,43938.51,43969,43917.8,43952.92
1702146060000,43952.93,43975,43917.8,43943.79
1702146120000,43947.02,43972,43936,43952.43
1702146180000,43952.93,43974,43952.42,43958.74
1702146240000,43958.74,44004,43952,43979.89
1702146300000,43977.61,43998,43944.2,43963.18
1702146360000,43961.56,43981,43935.5,43960.38
1702146420000,43960.37,43981,43939.4,43949.79
1702146480000,43949.79,43971,43930.9,43955.4
1702146540000,43966.1,43973,43925.8,43957.8
1702146600000,43957.9,43983,43940.17,43959.82
1702146660000,43959.8,43985,43958.75,43960.3
1702146720000,43960.3,43984,43941.3,43950
1702146780000,43963.4,44008,43947.94,43995.43
1702146840000,43995.43,44015,43981.7,43996.6
1702146900000,43995.87,44007.8,43995.48,44001.54
1702146960000,44003.29,44027,43983.4,44025
1702147020000,43996.71,44026,43954.5,43975.7
1702147080000,43975.7,43997,43954.1,43975
1702147140000,43975.52,44008,43954.9,43986.44
1702147200000,43984.06,44009,43959.7,43986.52
1702147260000,43986.64,44007,43963.82,43976.89
1702147320000,43975.73,43994,43953.3,43972.76
1702147380000,43977.7,43994,43952.7,43976.01
1702147440000,43975.96,43988,43950.5,43978.76
1702147500000,43978.75,43991,43956.43,43956.43
1702147560000,43958.04,43994,43956.44,43962.78
1702147620000,43963.15,44006,43947.9,44001
1702147680000,44001,44006,43970.2,43977.37
1702147740000,43977.37,44004,43959.39,43966.95
1702147800000,43964.23,44015,43964.23,43987.67
1702147860000,43989.86,44016,43970.9,43992.9
1702147920000,43988.55,44013,43964.14,43971.9
1702147980000,43971.9,43989,43964.14,43971.65
1702148040000,43971.19,44003,43968.29,43977.97
1702148100000,43977.5,43993,43963.55,43987
1702148160000,43963.56,43979.5,43960.26,43964.15
1702148220000,43966.2,44022,43944.1,43994.95
1702148280000,43994.96,44019,43979.9,43991.16
1702148340000,43991.16,44019,43975.91,43980.89
1702148400000,43979.37,43999,43950.1,43963
1702148460000,43963,43985,43957.73,43961
1702148520000,43962.99,44002,43962.99,43974.98
1702148580000,43975.01,43996,43956.5,43973.4
1702148640000,43966.11,43972.9,43944.9,43964.11
1702148700000,43961.45,43998,43944.9,43971.96
1702148760000,43971.96,43981,43968.44,43969.3
